	S1-70A	S1-77A	S1-88A	S1-73A	S1-90A	S1-79A	S1-47A	S1-69A	S1-55A	S1-3A	S1-89A	S1-91A	S1-53A	S1-61A	S1-54A	S1-83A	S1-35A	S1-39A	S1-62A	S1-87A	S1-6A	S1-78A	S1-52A	S1-22A	S2-12	S2-64	S2-45	S2-50	S2-35	S2-25	S2-32	S2-56	S2-82	S2-46	S2-55	S2-20	S2-22	S2-80	S2-38	S2-13	S2-4	S2-61	S2-92	S2-54	S2-73	S2-90	S2-88	S2-3	S3-10	S3-71	S3-24	S3-12	S3-73	S3-84	S3-58	S3-45	S3-29	S3-43	S3-27	S3-68	S3-75	S3-14	S3-3	S3-78	S3-81	S3-37	S3-98	S3-23	S3-79	S3-52	S3-91
ConA Sigma	-0.14139764115782671	-0.6112189501361194	-1.7063172130771502	-0.12498731169192225	-1.1833184947060593	-0.24954025570702534	-1.5817413913397629	-0.7016300180112707	-0.5553999386307824	-1.3256533705678395	-2.00678932475158	-0.7596751285460828	-1.7291799056430142	-0.26831402175112207	-1.401385305143719	-1.8316693215699924	-1.0385939160499615	-2.2804360659490603	-1.3531568043330604	-0.7953670788093579	-1.621147967705578	-0.2592572817199942	-0.6530519176641821	-1.458031317458212	-0.03389464086330188	-1.02421123114501	-0.7661623085618139	-0.9103889283965887	-0.5601569183001849	-0.48410275967530336	-0.3620822466626327	-1.0310230619567324	0.061501946023915344	-0.5677410465080648	-1.3436124594322816	-0.48539105444043257	-0.7141915876756363	-0.6243475702733903	-0.16648145390918884	-0.8789791394658416	-0.3453610315474129	-0.5156829959572814	-0.15724738310128752	-0.27512738269258274	-0.5662056526278341	-0.4817233609161837	-0.49103034751444186	-0.9972140652674848	0.7671658319419052	-0.008092034732568214	-0.7843393919739089	0.1960430438906294	-0.5751332110767787	-0.5406342430335442	-0.17849013431376534	-0.34833251609661586	-0.7224023556764017	-0.747803339464828	-0.760143294288039	-0.5095523700171837	-1.4400634292911585	-1.0763477262955823	-1.4592876667074743	-0.7577025579218575	-0.5103211561773294	-0.8144750980716221	-0.7439772293460528	-0.651822273278903	-1.0356245918056113	1.5768437477350736	-0.3289208951748471
GNA Sigma	0.3780326926173802	-0.12901716781677278	-1.2760765074662053	0.7138657169436486	-0.032675410977129685	-0.641238234956381	-0.7191358957820835	-0.12276259486471754	0.03991504368781064	-0.5727541137729011	-0.41777978194548326	0.5098797296025493	-0.8023593252305493	0.4875603332549875	-0.30576415903479864	-1.1401407774390655	0.18336400614050674	-1.2466541654292276	-0.46081535826132825	0.03969025597668361	0.28767470070084167	0.27759588111965117	-0.4391319735375773	-1.1000691840840986		0.4216957453486382	1.3100479807556515	0.5807543313074489	1.763795163261134	1.1207740872197278	2.139796200239561	0.5382248442925318	1.2258285222637508	1.1958799799030118	0.650882813713033	1.623702766261487	1.3002707109031568	1.7679964241682755	1.521199534043309	0.6268893594011351	1.5660452462738688	0.7064677210046622	1.5301164934334477	1.4350307803796973	1.1422966195876485	1.7045653984591818	1.5986203584578818	-0.9822669792209566	1.7528366402036526	0.36808614088957675	-0.3533768922059175	3.3627458254430374	1.1214555328760165	1.3149323376448314	1.331655326477274	1.586793535944494	1.453323332814397	1.030807390106328	1.2208433871644133	1.9333173728013444	0.8981346825899928	1.2763835295706132	0.6033534616972861	1.3050108419039803	1.409330645101059	1.4628692871059075	0.27938742869863664	1.2029713154244297	1.0889038093525163	1.633534950275992	0.6833571020220827
AIA GlycoMatrix	-1.0352599091551433	-0.9658278712940697	-1.5917852376913215	-0.725572198272036	0.49505723394230416	-1.4302417351247758	-0.3951879627042236	-0.24292215100014883	-1.078819100066895	-2.1090705455631116	-1.562853179601733	-0.38252784313202226	-1.1219304524905445	-0.795937549219574	-0.5171134088445503	-1.2636160753150951	-1.830839047674911	-1.6368119640772045	-1.3139507321407957	-0.7634609441979888	-0.6183170508988629	-1.1015120862037764	-0.6127047976535827	-1.5419026534081437	0.05078376609708678	-1.0971925789500825	-0.45017602914217963	-0.48646944012748367	-0.4379535054451375	0.32526328830910717	0.7848106020050972	-0.7960677804051696	0.034678908151621696	0.09568550177265392	-0.40467027348492784	0.19806802710239851	-0.15495168865002715	-0.6172211427150422	-0.6085625477070871	0.18080076979514745	-0.5933305940139882	-1.0314252048263752	0.19950001982986082	0.4374587233177909	-0.02993250426977274	-1.0826789284626033	0.3834480123211466	-0.870796429223522	-0.003276866070832495	-0.339585692069528	3.1736704406396714	0.5050731044963257	0.2341416908149479	-0.16348496101139792	0.12520435648865325	0.07121128973715034	-1.0496634571663395	-0.25972026440270285	-0.37499197306500964	-0.5527573850142489	-0.7051196475745333	-0.8283627767176833	-0.9623723908583649	-0.42950405246591966	0.061776861049956326	-0.8064518543958826	0.22542228959317692	0.521978180278377	-0.3128534065533247	0.16828369152221506	-0.17370073129656938
PHA-E Vector	0.2820030947512892	1.67720674429411	1.6112021225027326	-1.1373105029741166	0.3507064847879354	0.3710699907218614	0.13912578853130017	0.8975311519732861	0.5909656525474509	0.40450161487540526	-0.7836568883688927	0.8529937406108331	0.5557846184582468	-0.46986666842477054	1.5956128807771355	0.2980758383658995	-0.4483303468573426	1.4633675505870951	1.2260570779031414	1.3581114658262274	1.6449024145195112	1.0600729385845598	1.5005813728855941	1.1448915620219746	1.3478918032684084	1.4484962559038097	1.0997853431972309	1.539942444985053	-0.48826057941295753	2.3954330932709498	0.24289236179291346	0.016940647820152182	-0.28043426216961415	0.6768069854214244	2.2493722783590884	1.1543932497875455	1.7214777393954972	0.1348624816988065	3.291150520496367	-0.21873416889063643	0.56430061748009	1.569908358186969	1.073411779930291	1.340923507824763	1.5315303420761222	0.45799760557992025	0.8809925608428126	0.36871481960561703		2.838269078840207	-0.0727686416191728	0.28483496991813934	0.8532312448219541	1.3636253644965337	1.394513913545054	0.8869949359367324	1.801639995474606	0.3745924236212765	-0.1013000114478963	0.07836354960313845	0.9041820720418516	2.1956498265653854	1.6185699676104175	1.0295452168480654	1.1846833394136376	1.593735796484899	1.41108444306222	1.2599493989239845	1.4945265896560151	1.478489368928811	1.2439813054983597
AIA Vector	-0.3697260485653648	-1.217230070442922	-1.061681491180087	-0.8707520684585188	-0.7537814960292208	-1.032535771701971	-1.6999452628728802	-0.23127318039281153	-0.9169744227349647	-1.5513397573885421	-1.5254166661315558	-0.24712965995368624	-1.2731428684579091	-1.055754930919434	-1.1187187294124243	-1.4535885899202163	-1.4578372617353668	-1.5941914314733086	-1.1098336507378919	-1.1000778527807935	-0.8424944919712599	-1.032821472440097	-0.717373154736924	-0.8599693750472841	0.16760905701369852	-0.693923160252493	-0.25829848835454217	-0.15854571185257835	-0.0919677448389139	0.5789854872197616	1.0850050698568452	-0.26019111064740946	0.2026045369172735	0.16960024964312548	-0.24103167979402726	0.3264962182344133	0.24737006477314094	-0.20083743271251822	0.0458602547999082	0.4804321147861304	0.21446849983608335	-0.1830007964384896	0.6583931886081277	0.5642866213923133	0.23334709597221692	-0.5392851484740377	0.5541626892676796	-0.4836454932921163	1.2730184944064158	-0.7686452547207454	-0.15168084133429738	0.3429834885636221	0.09784241897171327	-0.3104160848441823	0.34848520358559426	0.4865895295876525	-0.4874286001809624	0.004747889936694007	-0.08132289595422515	0.08190279315904357	-0.44523626486385187	-0.436921460545025	-0.6930294667588388	-0.039435908736112975	0.28549122481010325	-0.405514382944652	0.6963480443493502	0.589735239152106	0.002406213859277799	0.34522090275321005	0.2131815729780001
SNA Vector	-0.7297843388561597	-1.154623147440166	-1.5433633762398349	-0.9724676831421445	-1.3414995594500236	-0.8068793824508234	-0.8872792707608557	-0.726510208545526	-0.35048683369845124	-0.6231306820260715	-0.5945551180084448	0.10069027957402339	-1.1135210973422383	-0.5867497616031973	-0.45743461379664485	-1.2945614759929993	-0.6712197093480138	-1.0985233443777431	-1.0353140573978699	-0.3438340183450941	-0.7611613671494148	-0.31853482407028066	-0.9111545112612348	-0.45906425224780684	0.025188751732370316	-0.7918367812718349	-0.6199815282932897	-0.6454528227833914	-0.7917874159030266	-0.23574149066795522	0.41650965277428276	-0.1015410049345547	-0.19452865087348356	-0.23881653420388627	-0.474131046887463	-0.3221401234310422	-0.1998106033225725	-0.8194192234428225	-1.2961695030601754	0.13887958810831674	-0.5443224500663053	-0.42243918752829607	0.09652666269227167	-0.22763890600949555	-0.6483689286540387	-0.6414376296815656	0.007176456238404521	-0.4844312796342312	0.3768667713826314	-1.167793510762569	-0.9157737057781211	-0.2498824981674995	-0.5709788007515003	-0.6615227628143411	-0.18042947941486603	-0.3573971152533349	-1.4181529695275046	-0.7616216739149413	-0.5446010394566511	-0.47264124492697224	-0.7361207488269643	-1.2436670421523948	-0.6030365981800501	-0.6318288820457565	-0.6045743596107369	-0.8387243591322355	0.02477789981081362	-0.44900858515325526	-0.7816784874817657	-0.6466753803263358	-0.04367660547957881
WGA Vector	-0.4402740698464097	-1.0912065495807406	-0.3468503150174601	-0.4005637764839648	-0.2828566195405007	-0.04219899488506074	0.7354890571775754	0.46863384703186295	0.3691503609162474	-1.5835758130832218	-0.9750747210222932	0.13628605293109672	1.9593727978439561	0.4511343553502593	0.03424172590966701	-1.4198159794936678	-0.8844871760002868	-0.1971575406213604	0.2920021406289256	0.056737770555027496	-1.8959631828030392	-1.8802660577712542	-0.6098873930789552	-1.2714936993981816	0.3722595885519388	-1.6832407959980773	-1.2058923857908794	-0.1370869012434289	-2.49250923998072	-0.8994287990663582	-0.8248264250019866	-1.981477952610998	-1.6829379522119607	-1.8143537146780524	-2.248223379457322	-1.7553121188243939	-1.5349833378171212	-2.71902186046873	-1.4060332543294476	-1.7403070432039165	-1.3802496323603908	-1.4919908878093395	-1.4452582981897564	-1.158800461319129	-1.1881558306617537	-1.295758053484679	-0.9330295633355953	-0.17356183722894955	-0.042319503428387466	-1.0545490426530812	-0.9243064422053737	-1.3970649967122732	-1.2873898899592557	-2.6715880844633366	-0.8847199414746911	-1.5074785698757536	-2.161447302772789	-1.8299545515133242	1.3197135479147388	-1.3544588637407202	-1.4127985286441078	-2.071980466100202	-0.4325655005975719	-1.446679009348481	-0.9220330625904042	-2.2747083493188947	-2.254797375040299	-1.3558535748316836	-1.9660868832652507	1.1218436963675644	0.3011378779658704
AAL Vector	-5.889375517157616	-6.074774339273967	-3.8871658496555788	-6.112251081004449	-6.046767750438181	-6.158238787058639	-6.7080989693197	-3.4480960270444663	-6.3261728763232075	-6.6041312389900515	-6.363480991296756	-5.414359093736018	-6.312092109318545	-5.3864205116692965	-5.95177464397175	-7.1147030186190765	-6.7306833443166045	-7.415366833756753	-6.2633532369743135	-5.9201101660258315	-6.267012667594611	-6.218422733249919	-5.956215102520889	-6.077475020226886	-3.5813364866808994	-6.8410594425404785	-6.602041197969482	-7.034627865091012	-6.80200908952541	-5.669579892893008	-5.709461187046414	-6.597530306950455	-5.861058101383502	-5.9231948117446125	-6.90281853561863	-5.912414942753631	-5.921345193833385	-6.9151637645711626	-6.146320662420477	-5.9097706001022985	-6.090646749775182	-5.832691722880245	-5.56762657750263	-5.149062283304151	-5.718297993222319	-4.363344608624934	-5.239189257048713	-4.259385148701337	-1.0798928005798398	-6.289462683755069	-4.446077865460686	-5.535753657800997	-6.000265023107141	-7.141610818765521	-5.601671942423508	-5.659749067063039	-7.438714991126603	-6.188677986379392	-6.1344050145800875	-5.92555942150337	-6.559000877635742	-6.486107301508245	-5.827343274270208	-5.523352260813422	-5.717903936956788	-6.51082997983192	-6.530582912809356	-5.035842029063127	-6.163007907558235	-5.8368427615547605	-3.1494413242311037
PSA Vector	-0.1346064141475412	-0.3150652932927116	-0.915051255743257	0.1117293045799719	-0.22246663550903914	0.5579935807787296	-1.4071145306765134	-0.6021172526733853	-0.3247819501218438	-0.4420042794441378	-1.1551513531812185	0.036697112750272064	-0.707666214377838	1.1298055033080943	-0.3853318356918572	-1.2849787495914877	-0.25923653370587235	-0.9838353247753429	-0.44655509266208143	-0.09013581101931989	-1.0702539363456796	0.06528628843752313	0.18535081066417186	-1.5613830710081904	-0.4131529188019327	-0.7084509888471575	-0.48312678833416767	-0.565144184168241	0.360365938456369	-0.1953827845140603	-0.36407398224694715	-0.6799390063735155	0.048749375902645595	-0.05971526811557657	-0.6988745208744434	-0.00042920724701955447	-0.1785636162153155	0.20937352009291457	-0.01936636947534312	-0.4846072426990256	1.5719497003212253	0.006543840846926388	0.11017271657669592	0.24921809666139966	-0.19248845007363782	-0.5890168175804488	-0.07229780598293746	-0.9322461689766675	0.021726249422042494	-0.4989837121251704	-0.7281002032914681	0.5244216723697153	-0.29370612554853287	-0.0069522455629080935	-0.20762869302430972	0.07153565484861528	-0.030123024835201156	-0.34597438386567986	0.04196259250391288	-0.028384753424447746	-0.848737837410392	-0.5660333574266873	-0.8122651649130602	0.664761601200033	-0.47125485385144944	0.3174988316362919	-1.2740666839760921	0.02377939660340811	-0.5894928749010803	0.02266923710910914	-0.36161644000677057
PSA GlycoMatrix	-0.07965889435625034	-0.307359565795753	-0.6117956561283688	0.36081390583782036	-0.12128714586046777	0.7834862811841186	-0.9322838969914568	-0.3465271427049544	-0.46577783080700297	-0.44377105326495514	-0.8714908141543812	-0.07521928140740243	-0.7806649188522794	0.6465826949194423	-0.6320201560859781	-1.2846550455595547	-0.37446903772566037	-1.077372799828937	-0.39788572255172694	-0.33747172082768406	-0.7154827359483905	0.17814517103303787	-0.2733076308321526	-1.3320394506226692	-0.26738615045953384	-0.5767795496004616	-0.4147940925427782	-0.46328127046646744	0.4159868750061507	-0.14845361283200534	-0.3762439425421262	-0.3050722247047629	0.02115370870842949	0.015043584672260881	-0.5866112516848199	-0.16775819643919127	-0.08554414161983769	0.3439711947451056	-0.19808657785398956	-0.3608983848307245	0.8106484108455164	0.017124442127068977	0.2289245873694416	0.23711502962109382	-0.38558328551710686	0.029886054738694028	-0.07778704774908789	-0.9070069156493877		-0.40749359863873796	-0.5071678354116408	0.6138505095827357	-0.30461341527236047	0.004861974647417467	-0.1832916260436364	0.15248848151775649	-0.003962415569470912	-0.31372694467698564	0.13134501371002855	0.04029019112258496	-0.18947387981826588	-0.3464527380856485	-0.7659207610510573	0.7739885381381713	-0.3822809070321687	0.39593089087680483	-1.2026467934274467	0.05069624941936565	-0.7366080723534932	-0.18303991176116166	-0.0755437501905157
