Block	Column	Flags	F532	F635	SNR 532	SNR 635	Lectin	Sample
1	1	0	732	602	33.241	15.75	ConA Sigma	S1-70A
1	2	0	729	662	29.862	18.783	ConA Sigma	S1-70A
1	3	0	746	663	23.031	12.492	ConA Sigma	S1-70A
1	4	0	338	201	9.667	3.717	GNA Sigma	S1-70A
1	5	0	383	241	16.367	4.086	GNA Sigma	S1-70A
1	6	0	341	205	9.8	2.1719999999999997	GNA Sigma	S1-70A
1	7	0	371	530	13.259	15.508	AIA GlycoMatrix	S1-70A
1	8	0	398	683	15.107000000000001	12.103	AIA GlycoMatrix	S1-70A
1	9	0	412	723	14.852	11.882	AIA GlycoMatrix	S1-70A
1	10	0	1448	1140	26.061	10.699000000000002	PHA-E Vector	S1-70A
1	11	0	1642	1139	30.451	10.44	PHA-E Vector	S1-70A
1	12	0	2358	1238	46.826	8.611	PHA-E Vector	S1-70A
1	13	0	1409	2022	30.164	6.035	AIA Vector	S1-70A
1	14	0	2027	1606	41.903999999999996	3.522	AIA Vector	S1-70A
1	15	0	12281	7292	253.979	9.038	AIA Vector	S1-70A
1	1	0	420	727	13.7	7.461	LcH Vector	S1-70A
1	2	0	474	637	15.732999999999999	7.574	LcH Vector	S1-70A
1	3	0	561	795	16.469	13.828	LcH Vector	S1-70A
1	4	0	1072	1247	52.645	32.318000000000005	SNA Vector	S1-70A
1	5	0	1365	2676	76.452	16.676	SNA Vector	S1-70A
1	6	0	1237	1345	55.093999999999994	14.442	SNA Vector	S1-70A
1	7	0	3166	3074	240.55599999999998	72.15100000000001	WGA Vector	S1-70A
1	8	0	1098	1182	164.296	62.236999999999995	WGA Vector	S1-70A
1	9	0	1275	1519	168.769	88.95299999999999	WGA Vector	S1-70A
1	10	0	111	301	4.667	3.455	PNA Vector	S1-70A
1	11	0	102	188	3.8710000000000004	1.871	PNA Vector	S1-70A
1	12	0	103	306	3.613	2.7560000000000002	PNA Vector	S1-70A
1	13	0	1429	65452	43.211999999999996	210.24900000000002	AAL Vector	S1-70A
1	14	0	1265	64854	48.214	209.77700000000002	AAL Vector	S1-70A
1	15	0	1473	64847	10.43	48.355	AAL Vector	S1-70A
1	1	0	505	426	17.276	5.141	PSA Vector	S1-70A
1	2	0	482	378	20.875	3.6210000000000004	PSA Vector	S1-70A
1	3	0	501	502	25.166999999999998	12.122	PSA Vector	S1-70A
1	4	0	1137	977	55.153999999999996	16.493	PSA GlycoMatrix	S1-70A
1	5	0	948	760	39.461999999999996	9.62	PSA GlycoMatrix	S1-70A
1	6	0	1073	908	49.2	12.023	PSA GlycoMatrix	S1-70A
1	7	0	375	235	23.52	22.291999999999998	UEA-I Vector	S1-70A
1	8	0	330	247	14.385	21.304000000000002	UEA-I Vector	S1-70A
1	9	0	384	310	19.038	16.281	UEA-I Vector	S1-70A
1	10	0	541	342	9.273	2.124	LEL Vector	S1-70A
1	11	0	501	339	0.632	0.991	LEL Vector	S1-70A
1	12	0	525	317	2.186	0.319	LEL Vector	S1-70A
1	13	0	31666	7894	1016.2139999999999	125.667	MPL Vector	S1-70A
1	14	0	22402	6967	861.0419999999999	93.78399999999999	MPL Vector	S1-70A
1	15	0	29072	8366	194.872	22.445999999999998	MPL Vector	S1-70A
